Symbol,PER(배),PBR(배),"배당수익률(보통주,현금+주식)(%)",영업이익증가율(전년동기)(%),영업이익증가율(3년평균)(%),"수익률 (현금배당반영,3개월)(%)","수익률 (현금배당반영,12개월)(%)",ROE(영업이익)(%),부채비율(%),순매수강세,value,growth,momentum,quality,label
A048770,1919.91,1.21,0.77,-56.87,73.49,-8.82,-30.01,2.23,164.63,-0.8370365000543695,A,B,D,B,ABDB
A017370,21.17,0.6,0.94,,61.09,-18.67,-5.07,8.89,213.74,-0.0780971762910201,A,B,D,B,ABDB
A008370,7.01,0.67,4.03,97.27,41.73,-14.29,-17.44,9.28,8.91,0.10944069069069069,A,B,D,B,ABDB
A223310,,2.18,,,79.76,0.0,0.0,1.93,15.22,,A,B,D,B,ABDB
A051780,,1.2,,-26.28,23.84,-4.99,-37.89,3.92,120.05,0.40489059454680626,A,B,D,B,ABDB
A032960,42.17,0.72,0.46,1366.05,6.23,-22.35,4.29,1.78,6.87,-1.5994271938680897,A,B,D,B,ABDB
A391060,77.2,1.08,,,,-0.8,-9.75,-0.11,9.44,-0.8515093664240544,A,B,D,B,ABDB
A147760,,0.93,,,,-12.74,-23.65,-9.62,18.68,-0.19232813969656076,A,B,D,B,ABDB
A030350,,0.76,,,,-16.69,-63.11,-18.33,17.88,-0.6092073742318509,A,B,D,B,ABDB
A131090,9.3,1.01,2.45,-3.52,1.65,-13.27,-21.6,13.32,11.94,-0.1138711054204012,A,B,D,B,ABDB
A002420,,1.51,,,,5.01,-18.37,-3.49,94.28,0.008136015284545864,A,B,D,B,ABDB
A011090,,1.02,,,,-27.52,-69.68,-42.5,188.85,-0.11850002521813688,A,B,D,B,ABDB
A051390,12.37,0.43,4.55,-2.46,3.54,-6.36,-13.55,4.05,27.71,0.013438533978111478,A,B,D,B,ABDB
A192390,5.5,0.56,,409.94,,5.3,-14.34,16.44,134.24,2.3426616280257377,A,B,D,B,ABDB
A154040,9.28,1.21,,348.53,-2.82,-9.08,-15.88,13.39,277.19,-0.4783123963024413,A,B,D,B,ABDB
A044480,,1.71,,,,-30.58,-53.16,-8.49,61.63,-0.3342492029342388,A,B,D,B,ABDB
A099410,26.39,1.12,,185.43,,5.42,-34.53,4.74,46.27,0.43447142134547295,A,B,D,B,ABDB
A005030,,2.04,,,,-21.74,-49.53,-27.98,910.02,-0.1897672960902609,A,B,D,B,ABDB
A069140,,1.31,,,,-11.69,-30.59,-17.18,359.27,0.13547579298831386,A,B,D,B,ABDB
A335870,,1.89,,19.71,8.76,-33.63,-8.94,17.71,84.88,0.13311566664882513,A,B,D,B,ABDB
A154030,,1.59,,,,-19.69,-51.59,-6.83,75.77,-0.0023118901045727034,A,B,D,B,ABDB
A086060,22.55,0.75,,,25.68,2.37,-16.6,3.73,40.05,1.199849454271735,A,B,D,B,ABDB
A036180,,1.16,,,,-14.36,-64.22,-26.18,81.32,-0.23650098960220778,A,B,D,B,ABDB
A222160,,,,,,-27.08,-54.66,,,-1.5975750091217829,A,B,D,B,ABDB
A035200,26.34,0.85,1.39,-34.52,0.06,-7.77,-37.85,4.18,10.73,-0.5914714177999945,A,B,D,B,ABDB
A060480,27.83,0.58,1.98,-59.46,,5.15,-17.83,0.81,8.88,0.3447971521873437,A,B,D,B,ABDB
A110020,,2.69,,,,21.97,-7.85,-31.3,87.91,0.31487868696479543,A,B,D,B,ABDB
A066790,35.33,1.02,,,1.85,0.7,-19.33,2.64,28.81,-1.8350480322280756,A,B,D,B,ABDB
A117670,,0.53,,,,-32.36,-68.81,-4.25,58.93,-0.29197844495765973,A,B,D,B,ABDB
A001210,,0.49,,,,4.13,-55.52,-75.56,381.44,0.3216877430417343,A,B,D,B,ABDB
A023790,,0.82,,-79.27,,4.02,-37.59,2.43,161.71,0.07642832491450444,A,B,D,B,ABDB
A275630,18.9,1.29,,46.57,69.07,-23.43,-15.49,8.93,13.25,-0.27461777662606895,A,B,D,B,ABDB
A020400,13.05,0.61,0.67,-11.46,-10.54,-7.35,-25.39,5.16,115.7,-0.042578907383106566,A,B,D,B,ABDB
A323230,,0.77,,,-37.23,-11.66,-36.05,3.8,330.28,-0.24436326498546626,A,B,D,B,ABDB
A440200,93.93,0.98,,,,0.99,,,16.07,-0.5722497205811912,A,B,D,B,ABDB
A415580,125.68,1.07,,,,6.2,-1.38,-0.99,7.67,-2.8165097245445745,A,B,D,B,ABDB
A430700,98.26,1.02,,,,3.91,,,14.97,-2.7466546924113158,A,B,D,B,ABDB
A440790,,1.0,,,,3.43,,,22.36,-0.8034168031827755,A,B,D,B,ABDB
A373340,251.76,1.12,,,,15.6,8.15,-0.86,19.13,0.6377135348226018,A,B,D,B,ABDB
A413600,653.39,1.05,,,,6.8,-19.27,-1.54,17.86,0.8457460906440498,A,B,D,B,ABDB
